,zipcode,bedrooms,price,weekly_price,monthly_price,cleaning_fee,number_of_reviews,review_scores_rating
2862,10027,2.0,185.0,1080.0,4200.0,125.0,127,94.0
2872,11213,2.0,100.0,750.0,2000.0,75.0,145,84.0
2873,10012,2.0,250.0,1500.0,7000.0,240.0,0,
2882,11215,2.0,140.0,840.0,3920.0,392.0,22,93.0
2885,11205,2.0,130.0,780.0,3640.0,80.0,135,93.0
2886,10012,2.0,265.0,1700.0,6405.0,100.0,79,96.0
2892,10009,2.0,120.0,720.0,3000.0,0.0,87,96.0
2894,10011,2.0,250.0,800.0,2350.0,75.0,82,91.0
2905,11221,2.0,120.0,720.0,3360.0,75.0,204,97.0
2921,10012,2.0,200.0,1200.0,5600.0,125.0,65,98.0
2927,10065,2.0,495.0,2970.0,13860.0,300.0,76,98.0
2948,11206,2.0,175.0,1050.0,4900.0,125.0,187,99.0
2958,10002,2.0,160.0,960.0,4480.0,50.0,202,88.0
2978,10025,2.0,178.0,1068.0,4984.0,88.0,132,81.0
2996,11211,2.0,165.0,1375.0,4800.0,195.0,80,88.0
3001,11205,2.0,120.0,800.0,3360.0,100.0,25,95.0
3011,10012,2.0,299.0,1850.0,8372.0,80.0,26,82.0
3025,11238,2.0,145.0,1200.0,4000.0,60.0,18,87.0
3026,10005,2.0,390.0,2340.0,10920.0,1092.0,1,
3032,11222,2.0,250.0,450.0,1850.0,80.0,60,94.0
3033,10031,2.0,100.0,600.0,2800.0,100.0,241,93.0
3039,10035,2.0,215.0,1290.0,6020.0,100.0,55,97.0
3043,10002,2.0,299.0,1794.0,8372.0,165.0,189,93.0
3053,11233,2.0,170.0,1000.0,3500.0,100.0,122,89.0
3060,11221,2.0,89.0,750.0,2200.0,150.0,78,89.0
3061,11106,2.0,108.0,600.0,3024.0,302.40000000000003,3,100.0
3066,10011,2.0,269.0,1614.0,7532.0,80.0,63,93.0
3068,11211,2.0,160.0,960.0,5000.0,100.0,13,97.0
3070,11226,2.0,95.0,500.0,1500.0,75.0,16,88.0
3084,11101,2.0,250.0,1500.0,7000.0,85.0,165,96.0
3093,11218,2.0,190.0,1400.0,5320.0,75.0,86,98.0
3094,10010,2.0,300.0,1800.0,8400.0,75.0,14,96.0
3103,11105,2.0,188.0,1927.0,7307.0,89.0,228,96.0
3106,11238,2.0,279.0,1800.0,7812.0,150.0,9,98.0
3107,10014,2.0,350.0,310.0,9800.0,100.0,9,97.0
3114,10031,2.0,155.0,930.0,4340.0,100.0,110,95.0
3117,10002,2.0,300.0,1800.0,8400.0,150.0,24,89.0
3131,10038,2.0,310.0,2927.0,12500.0,165.0,262,95.0
3133,10001,2.0,295.0,1770.0,8000.0,110.0,3,87.0
3134,11249,2.0,200.0,1200.0,6000.0,150.0,12,100.0
3138,10019,2.0,99.0,594.0,7000.0,100.0,36,98.0
3147,11205,2.0,219.0,1314.0,6132.0,0.0,48,96.0
3150,10009,2.0,10.0,60.0,4700.0,150.0,0,
3157,11238,2.0,200.0,1200.0,5600.0,60.0,15,89.0
3170,11233,2.0,135.0,810.0,3780.0,40.0,113,96.0
3172,11216,2.0,130.0,780.0,3640.0,364.0,208,93.0
3174,11215,2.0,115.0,800.0,2800.0,75.0,172,90.0
3175,11216,2.0,130.0,780.0,3640.0,364.0,217,93.0
3182,11372,2.0,128.0,320.0,900.0,50.0,10,88.0
3192,10002,2.0,250.0,1500.0,7000.0,100.0,202,90.0
3199,11221,2.0,74.0,444.0,2072.0,60.0,167,91.0
3208,10040,2.0,95.0,700.0,2500.0,100.0,55,90.0
3214,10019,2.0,175.0,1050.0,6500.0,185.0,16,91.0
3215,10019,2.0,350.0,2100.0,5500.0,150.0,12,94.0
3218,,2.0,90.0,540.0,2520.0,252.0,0,
3248,11217,2.0,215.0,1400.0,5600.0,150.0,54,95.0
3250,10075,2.0,286.0,1894.0,5739.0,86.0,16,97.0
3251,11237,2.0,159.0,999.0,3600.0,120.0,10,100.0
3253,11218,2.0,125.0,750.0,3500.0,0.0,52,95.0
3281,11217,2.0,115.0,602.0,3220.0,0.0,190,98.0
3284,11233,2.0,120.0,720.0,3360.0,75.0,81,94.0
3285,10025,2.0,439.0,1300.0,3500.0,125.0,64,96.0
3291,11103,2.0,195.0,1170.0,5460.0,50.0,216,98.0
3303,11249,2.0,250.0,1250.0,7000.0,130.0,122,94.0
3307,11222,2.0,159.0,954.0,3300.0,330.0,5,92.0
3309,10011,2.0,555.0,3330.0,15540.0,295.0,100,96.0
3316,11216,2.0,185.0,1150.0,5180.0,100.0,107,96.0
3325,,2.0,275.0,1650.0,7700.0,100.0,0,
3335,10026,2.0,176.0,1050.0,2800.0,100.0,70,92.0
3336,10025,2.0,390.0,2500.0,9000.0,125.0,93,95.0
3342,11222,2.0,150.0,900.0,3300.0,330.0,4,85.0
3345,11205,2.0,175.0,1050.0,4900.0,100.0,80,91.0
3355,10128,2.0,199.0,1194.0,5572.0,50.0,2,80.0
3357,10019,2.0,125.0,1400.0,3500.0,95.0,1,83.0
3360,11211,2.0,200.0,700.0,3200.0,100.0,9,89.0
3370,10019,2.0,799.0,4794.0,8000.0,200.0,40,91.0
3372,10010,2.0,475.0,2850.0,13300.0,80.0,0,
3373,11238,2.0,250.0,1500.0,7200.0,40.0,115,97.0
3385,11233,2.0,125.0,800.0,2800.0,60.0,222,94.0
3398,10009,2.0,420.0,2400.0,8300.0,139.0,49,97.0
3404,10003,2.0,400.0,2400.0,11200.0,1120.0,39,96.0
3412,11375,2.0,115.0,775.0,3000.0,50.0,17,86.0
3415,11249,2.0,300.0,1800.0,8400.0,840.0,14,100.0
3420,11207,2.0,100.0,600.0,2800.0,0.0,263,96.0
3425,10039,2.0,130.0,375.0,1250.0,125.0,1,80.0
3432,11216,2.0,150.0,900.0,4200.0,100.0,102,97.0
3437,10028,2.0,550.0,3300.0,15400.0,100.0,0,
3450,11221,2.0,120.0,900.0,3360.0,50.0,93,85.0
3451,10036,2.0,525.0,3150.0,14700.0,100.0,39,98.0
3458,10013,2.0,120.0,720.0,3360.0,0.0,15,96.0
3466,11216,2.0,150.0,900.0,4200.0,420.0,0,
3469,10012,2.0,153.0,918.0,4284.0,80.0,126,94.0
3470,11222,2.0,150.0,900.0,3450.0,345.0,5,88.0
3474,11211,2.0,100.0,725.0,2800.0,125.0,96,96.0
3493,11217,2.0,275.0,1995.0,7700.0,180.0,19,98.0
3497,10017,2.0,399.0,3000.0,9495.0,200.0,33,99.0
3507,11211,2.0,159.0,954.0,4452.0,75.0,14,87.0
3508,10036,2.0,499.0,2994.0,13972.0,100.0,8,100.0
3532,11233,2.0,140.0,840.0,3920.0,100.0,146,92.0
3535,11238,2.0,150.0,875.0,2750.0,50.0,11,95.0
3555,10019,2.0,720.0,5200.0,15000.0,100.0,121,94.0
3562,11222,2.0,140.0,300.0,825.0,50.0,1,80.0
3568,10036,2.0,150.0,900.0,2750.0,120.0,2,100.0
3569,10009,2.0,250.0,1500.0,7000.0,150.0,239,87.0
3570,11103,2.0,180.0,1080.0,3900.0,100.0,74,91.0
3574,11222,2.0,220.0,1320.0,6160.0,60.0,2,100.0
3577,11215,2.0,150.0,705.0,4200.0,80.0,10,91.0
